time,I,Q,U,V,EVPA,P,uplim,bolim
10.187480000196956,2.3939222036837684,0.011235358246951446,-0.31408640835709484,-0.022834590734122535,-43.975657294382046,0.31428729721322984,-0.018150863164012418,-0.02654312405773694
10.189173333405051,2.3886102827474827,0.00952154361855138,-0.3109588695820303,-0.023228926463912104,-44.123077172469976,0.311104610002189,-0.018135939303447902,-0.02659109263019041
10.190293333260342,2.3955422171111618,0.008080705726226328,-0.31139044671844684,-0.023718770213325333,-44.25674269877568,0.3114952778334653,-0.018218847181001717,-0.026540659822445363
10.19141333346488,2.3925810409155166,0.006510368916597064,-0.3121400762598992,-0.021945709595390425,-44.40257177112306,0.31220796292049613,-0.01819329552616655,-0.02658285138662581
10.19253333332017,2.3977401172391,0.004516510060489513,-0.3131375270938729,-0.023793620491366428,-44.58682847058469,0.3131700971318821,-0.018274904299792682,-0.026523852115325357
10.194226666877512,2.3929807529783425,0.004960539797585654,-0.31349566958065056,-0.023111814504271487,-44.54673332827462,0.31353491320888627,-0.018280753384980492,-0.026546960676114503
10.195346666732803,2.399712348654322,0.003232532670953689,-0.3139911170919665,-0.023408930397696617,-44.70508093025628,0.3140077560827595,-0.01829096840637155,-0.02655381799154845
10.196466666588094,2.406246525976177,0.0012173539373354833,-0.31449423057381315,-0.021650374218851704,-44.88910942133951,0.3144965866505128,-0.0183333369403599,-0.026531845088543712
10.205453333328478,2.421098872111457,-0.008099053555254636,-0.31582008251286126,-0.02210648779223405,-45.73450031881505,0.315923913604085,-0.01840437928776693,-0.026488206157244117
10.206573333533015,2.4173294168951722,-0.008560988105425393,-0.3156746981396928,-0.02086689537675386,-45.77673042929507,0.3157907623141111,-0.01841924567848158,-0.026473586461465876
10.207693333388306,2.4290903517082376,-0.010696121165588253,-0.3159833292018433,-0.02220176012118355,-45.969368683051755,0.3161643106700524,-0.018508324839291965,-0.026388092565407823
10.209386666596401,2.414381133687321,-0.012060022061199733,-0.31489623066830785,-0.023503016249040037,-46.09663240605277,0.31512708582605964,-0.018598259794950618,-0.026293155975210813
10.210506666451693,2.4214244192020726,-0.015574254305264839,-0.3154561439238201,-0.021548068648163242,-46.413215599723124,0.3158403649574433,-0.018554111816972103,-0.0263224455571875
10.21162666665623,2.4176271522974284,-0.01404190414054735,-0.31359474974742874,-0.023627139058636743,-46.281916849607256,0.313908971106346,-0.018553427512711124,-0.026299729678462617
10.212746666860767,2.420845750629992,-0.01603813738141193,-0.3145033204395478,-0.022310777153667614,-46.459638443739664,0.3149119883684423,-0.018509223717744182,-0.026327726177522645
10.214440000068862,2.4205169398859745,-0.016873108342280854,-0.31445459706995565,-0.021491614789165718,-46.53572513936689,0.3149069630915749,-0.018464725613802108,-0.0263528674666419
10.215559999924153,2.427355211474632,-0.01889850223126969,-0.3155450347252518,-0.022332197601516137,-46.71372134246865,0.316110459058769,-0.01841821992135753,-0.026381875892233966
10.217799999983981,2.439614094507139,-0.022644392135880535,-0.3156643111395308,-0.023405201140723034,-47.05156138187987,0.31647547428260225,-0.01851200512866854,-0.026246156527033625
10.219493333541322,2.43225372602809,-0.024820196292930752,-0.3154819048305232,-0.023281860408763014,-47.24920869775874,0.31645674968234583,-0.018462564807869546,-0.02627508717754493
10.225666666869074,2.4520072870194496,-0.029246000730110185,-0.3123164290717178,-0.02210884114446186,-47.67485144693169,0.313682770369708,-0.018440878800316394,-0.026199353285749915
10.226786666724365,2.4477645442715517,-0.02994378770102696,-0.31241835791328876,-0.021513224399402807,-47.73739984381854,0.3138500609895113,-0.018426601316646172,-0.02620462551235338
10.230719999992289,2.456272410105123,-0.033153844983276406,-0.3111098753372116,-0.02230471324789936,-48.04142261847972,0.31287143041433246,-0.01835607447468077,-0.026209460912596284
10.231840000196826,2.4490577352550456,-0.03189916617189525,-0.30973167958369047,-0.020801802719079686,-47.94007121397884,0.3113699891450621,-0.01834723434705594,-0.026200620784971453
